freq,kappa,eta0
400.0,0.31146346925939833,0.9493322345453162
400.1,0.3039216870469168,0.9022065849530647
400.2,0.3070235731152181,0.9623129006423721
400.3,0.3030361004120443,0.9742955454205368
400.4,0.30172986066760377,0.9782898618566936
400.5,0.30140505841996545,0.9792884487485282
400.6,0.30140505841996545,0.9792884487485282
400.7,0.3020553637151325,0.9772912780677243
400.8,0.28123773313153283,0.9711150401699733
400.9,0.28276708102421877,0.96612120446248
401.0,0.28619090425795246,0.9551350087562006
401.1,0.2929629847466925,0.9341623289740688
401.2,0.3018925244497002,0.8381062024917535
401.3,0.29937231387842744,0.9151882057232287
401.4,0.29067029232335806,0.9411530772706259
401.5,0.2893762223983354,0.945147856405541
401.6,0.29067029232335806,0.9411530772706259
401.7,0.2952921330808804,0.9271717303312182
401.8,0.2714973818213774,0.9269930516359298
401.9,0.26936434101733175,0.9339851261521382
402.0,0.29034569097438134,0.9421517676072243
402.1,0.2913216773307858,0.9391557055525016
402.2,0.2733527745732773,0.9209999471054318
402.3,0.2888136830958871,0.8740574650277987
402.4,0.29245037735083845,0.6478032570847453
402.5,0.2847023164374396,0.8860421596933258
402.6,0.26966700674574196,0.9329862506104166
402.7,0.28619090425795246,0.9551350087562006
402.8,0.2833834876345177,0.964123689304479
402.9,0.28154227781673646,0.9701162676002764
403.0,0.28032803947071533,0.9741113740208948
403.1,0.2797248394947989,0.9761089432847834
403.2,0.27912422987598645,0.9781065231576407
403.3,0.27882489124166804,0.9791053170507539
403.4,0.2779307152504884,0.9821017144536704
403.5,0.27674736409068756,0.9860969473617748
403.6,0.2773377773686704,0.9840993257400432
403.7,0.2782281359835781,0.9811029127073183
403.8,0.28276708102421877,0.96612120446248
403.9,0.28063061608515744,0.9731125933891368
404.0,0.2779307152504884,0.9821017144536704
404.1,0.2770422561630288,0.9850981352631857
404.2,0.27674736409068756,0.9860969473617748
404.3,0.2553226164607114,0.9829330023537232
404.4,0.2764530991447103,0.9870957620274622
404.5,0.2550512779478224,0.9839319959707624
404.6,0.2550512779478224,0.9839319959707624
404.7,0.2764530991447103,0.9870957620274622
404.8,0.2761594593266938,0.9880945792519359
404.9,0.2761594593266938,0.9880945792519359
405.0,0.2761594593266938,0.9880945792519359
405.1,0.2761594593266938,0.9880945792519359
405.2,0.2761594593266938,0.9880945792519359
405.3,0.2761594593266938,0.9880945792519359
405.4,0.2761594593266938,0.9880945792519359
405.5,0.2550512779478224,0.9839319959707624
405.6,0.2764530991447103,0.9870957620274622
405.7,0.2764530991447103,0.9870957620274622
405.8,0.2764530991447103,0.9870957620274622
405.9,0.2764530991447103,0.9870957620274622
406.0,0.2764530991447103,0.9870957620274622
406.1,0.2764530991447103,0.9870957620274622
406.2,0.2553226164607114,0.9829330023537232
406.3,0.27674736409068756,0.9860969473617748
406.4,0.27674736409068756,0.9860969473617748
406.5,0.27674736409068756,0.9860969473617748
406.6,0.2555945329279753,0.9819340109123492
406.7,0.2555945329279753,0.9819340109123492
406.8,0.2770422561630288,0.9850981352631857
406.9,0.2770422561630288,0.9850981352631857
407.0,0.25586702919818705,0.9809350216537035
407.1,0.2773377773686704,0.9840993257400432
407.2,0.256140107127807,0.9799360345848794
407.3,0.27763392972311485,0.983100518800731
407.4,0.25641376858122633,0.9789370497130002
407.5,0.2566880154308203,0.9779380670452212
407.6,0.2569628495569781,0.9769390865887282
407.7,0.27882489124166804,0.9791053170507539
407.8,0.258068096718159,0.9729431870204347
407.9,0.2589032918407392,0.969946285919518
408.0,0.26059000580667585,0.9639525452086297
408.1,0.264030237170719,0.9519653155207451
408.2,0.2739768871632382,0.9190022669236131
408.3,0.2754864492965879,0.7618398988722042
408.4,0.2721130411155719,0.9249953395352902
408.5,0.2637400856390759,0.9529642382651015
408.6,0.2608732638405867,0.9629535964824941
408.7,0.28123773313153283,0.9711150401699733
408.8,0.2586242934449755,0.9709452506931534
408.9,0.2797248394947989,0.9761089432847834
409.0,0.258068096718159,0.9729431870204347
409.1,0.2577908945199391,0.9739421585592956
409.2,0.27912422987598645,0.9781065231576407
409.3,0.25723827284815387,0.9759401083507386
409.4,0.25723827284815387,0.9759401083507386
409.5,0.25723827284815387,0.9759401083507386
409.6,0.27882489124166804,0.9791053170507539
409.7,0.27882489124166804,0.9791053170507539
409.8,0.25751428720090325,0.9749411323385005
409.9,0.25751428720090325,0.9749411323385005
410.0,0.27912422987598645,0.9781065231576407
410.1,0.2577908945199391,0.9739421585592956
410.2,0.2577908945199391,0.9739421585592956
410.3,0.2794242119347612,0.9771077318994364
410.4,0.258068096718159,0.9729431870204347
410.5,0.2797248394947989,0.9761089432847834
410.6,0.2797248394947989,0.9761089432847834
410.7,0.2583458957166964,0.9719442177292617
410.8,0.28002611464186355,0.9751101573223628
410.9,0.2586242934449755,0.9709452506931534
411.0,0.28032803947071533,0.9741113740208948
411.1,0.2589032918407392,0.969946285919518
411.2,0.28063061608515744,0.9731125933891368
411.3,0.2591828928501045,0.968947323415797
411.4,0.2594630984275997,0.967948363189463
411.5,0.2597439105362237,0.9669494052480235
411.6,0.2600253311474725,0.9659504495990172
411.7,0.2608732638405867,0.9629535964824941
411.8,0.26030736224140716,0.9649514962500175
411.9,0.26059000580667585,0.9639525452086297
412.0,0.2608732638405867,0.9629535964824941
412.1,0.261157138349134,0.9619546500792839
412.2,0.2614416313470554,0.9609557060067065
412.3,0.28369269983912815,0.9631249358600583
412.4,0.26258582883585463,0.9569599531780703
412.5,0.2637400856390759,0.9529642382651015
412.6,0.2634505711307755,0.953963163411016
